id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
20818827,https://www.airbnb.com/rooms/20818827,"4B south end,sunny room near orange/silver line T",CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33624,-71.07963000000002,Private room in apartment,Private room,2,1.0,2.0,72.0,91,1125,91.0,t,0,0,0,0,58,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,21-4,750.6405516537886,,,#FF9800,True
20819487,https://www.airbnb.com/rooms/20819487,1D south end/BU Med/NEU/Haynes C.C. cozy room,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33763,-71.07876999999998,Private room in apartment,Private room,2,1.0,1.0,58.0,1,1125,1.0,t,0,0,0,0,104,414143,t,Ann,41932249.0,Expired/Void/Revoked,Void,,Home Share Unit,4.0,,Expired/Void/Revoked,Void,,0.0,21-4,1239.1829777994196,,,#FF5722,True
20819948,https://www.airbnb.com/rooms/20819948,2B. sunny room in 4bed2bath BU Medical/NEU,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33668,-71.07930999999998,Private room in apartment,Private room,2,1.0,2.0,72.0,91,1125,91.0,t,0,0,0,0,58,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,21-4,895.3403059531952,,,#FF9800,True
20960666,https://www.airbnb.com/rooms/20960666,"1C. south end, room w/bath by orange/silver line T",CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33706,-71.07786,Private room in apartment,Private room,3,1.0,2.0,75.0,1,1124,1.0,t,0,0,0,0,99,414143,t,Ann,41932249.0,Expired/Void/Revoked,Void,,Home Share Unit,4.0,,Expired/Void/Revoked,Void,,0.0,21-4,1075.03169852134,21-4-0,89.45334581428456,#FF5722,True
21597619,https://www.airbnb.com/rooms/21597619,"1B. south end, cozy room by orange/silver line T",CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33715,-71.07825,Private room in apartment,Private room,3,1.0,2.0,70.0,1,1125,1.0,t,0,0,0,0,76,414143,t,Ann,41932249.0,Expired/Void/Revoked,Void,,Home Share Unit,4.0,,Expired/Void/Revoked,Void,,0.0,21-4,1081.8684984930685,21-4-0,42.40283794156903,#FF5722,True
21635255,https://www.airbnb.com/rooms/21635255,4C. cozy/quiet room-BU Med/NEU/Convention ctr,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33697,-71.08009,Private room in apartment,Private room,2,1.0,1.0,69.0,91,1125,91.0,t,0,0,0,0,52,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,21-4,1039.7394428968678,,,#FF9800,True
23056994,https://www.airbnb.com/rooms/23056994,Cozy 1BR apartment,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.32411,-71.09358,Entire apartment,Entire home/apt,2,1.0,1.0,92.0,91,1125,91.0,t,0,0,0,0,35,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
26235532,https://www.airbnb.com/rooms/26235532,4A BU Med Ctr/NEU/HCC/south end sunny cozy room,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33634,-71.07786,Private room in apartment,Private room,2,1.0,1.0,69.0,91,1125,91.0,t,0,0,0,0,31,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,21-4,827.0853665397801,,,#FF9800,True
26997440,https://www.airbnb.com/rooms/26997440,4D - south end/BU Med/NEU/Haynes Convention,CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33695,-71.0786,Private room in apartment,Private room,2,1.0,1.0,80.0,91,1125,91.0,t,0,0,0,0,48,Missing,t,Ann,41932249.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,21-4,995.6970491014854,21-4-0,115.86844206416065,#FF9800,True
27659017,https://www.airbnb.com/rooms/27659017,"1A south end, sunny room w/bath near T/BU Medical",CorpGroup19,https://www.airbnb.com/users/show/41932249,Ann,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33701,-71.07805,Private room in apartment,Private room,3,1.0,2.0,58.0,1,1125,1.0,t,0,0,0,0,48,414143,t,Ann,41932249.0,Expired/Void/Revoked,Void,,Home Share Unit,4.0,,Expired/Void/Revoked,Void,,0.0,21-4,1043.772329062525,21-4-0,39.66307485144282,#FF5722,True
