id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
32570056,https://www.airbnb.com/rooms/32570056,2020-08-31,Studio That Is Safe/Clean Ready 4 You! 143-22,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34901,-71.06891,Entire apartment,Entire home/apt,2,1.0,1.0,130.0,2,21,2.0,t,0,0,13,163,46,STRLH/STRBB,f,Bay Village,244600805.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,6-1,True,0.0,229.1561182577999,6-1-0,59.192808245229,#9E9E9E,True
32570062,https://www.airbnb.com/rooms/32570062,2020-08-31,Clean/Safe Efficient Studio Awaits!  143-41,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34913,-71.06899,Private room in apartment,Private room,1,1.0,1.0,111.0,2,500,2.0,t,29,59,60,268,16,STRLH/STRBB,f,Bay Village,244600805.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,6-1,True,0.0,207.9255001081573,6-1-0,14.650878460332766,#9E9E9E,True
32687520,https://www.airbnb.com/rooms/32687520,2020-09-01,Modern Single Studio at the Heart of Boston! 1-21,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.3493,-71.06918,Private room in apartment,Private room,1,1.0,1.0,112.0,2,500,2.0,t,12,27,57,209,17,STRLH/STRBB,f,Bay Village,244600805.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,6-1,True,0.0,177.11903952102998,6-1-0,75.18257632456084,#9E9E9E,True
32861018,https://www.airbnb.com/rooms/32861018,2020-08-31,"Location A++, Sleeps 3 1-31",CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34906,-71.0691,Entire apartment,Entire home/apt,3,1.0,2.0,137.0,2,21,2.0,t,29,59,89,242,21,STRLH/STRBB,f,Bay Village,244600805.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,6-1,True,0.0,176.89415566078114,6-1-0,52.80836316874898,#9E9E9E,True
32861086,https://www.airbnb.com/rooms/32861086,2020-08-31,Modern Single Studio at the Heart of Boston! 1-24,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34948,-71.06858000000003,Private room in apartment,Private room,1,1.0,1.0,111.0,2,500,2.0,t,10,40,70,223,27,STRLH/STRBB,f,Bay Village,244600805.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,6-1,True,0.0,351.4682639550167,6-1-0,155.01002545812108,#9E9E9E,True
36036766,https://www.airbnb.com/rooms/36036766,2020-08-31,Clean/Safe Efficient Studio Awaits! 143-44,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34907000000001,-71.06924000000002,Private room in apartment,Private room,1,1.0,1.0,111.0,2,500,2.0,t,0,28,56,209,17,101773,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,,5.0,,Not found (fabricated),Not found (fabricated),,6-1,True,0.0,139.0414927500895,6-1-0,81.58738692304419,#E64A19,True
36037367,https://www.airbnb.com/rooms/36037367,2020-08-31,"Clean, Safe, & Ready For You! 143-43",CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34917,-71.06868,Private room in apartment,Private room,2,1.0,1.0,120.0,2,500,2.0,t,0,0,0,0,21,101773,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,,5.0,,Not found (fabricated),Not found (fabricated),,6-1,True,0.0,292.8774463829838,6-1-0,77.80416937035058,#E64A19,True
36037475,https://www.airbnb.com/rooms/36037475,2020-08-31,"Great Value For Your Boston Stay, Sleeps 3! 3-32",CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34909,-71.06923,Private room in apartment,Private room,3,1.0,1.0,147.0,2,500,2.0,t,0,0,0,0,31,101772,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,,8.0,,Not found (fabricated),Not found (fabricated),,6-1,True,0.0,142.00527295914125,6-1-0,76.19395708474786,#E64A19,True
36037605,https://www.airbnb.com/rooms/36037605,2020-08-31,Studio That Is Safe/Clean Ready 4 You!  143-13,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.34938,-71.06916,Entire apartment,Entire home/apt,2,1.0,1.0,130.0,2,500,2.0,t,0,0,0,0,53,101773,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,,5.0,,Not found (fabricated),Not found (fabricated),,6-1,True,0.0,197.2308640722717,6-1-0,93.51289676645388,#E64A19,True
38433315,https://www.airbnb.com/rooms/38433315,2020-08-31,Modern Efficiency Studio Awaits Your Stay! 1-22,CorpGroup6,https://www.airbnb.com/users/show/285344759,Bay Village,"Boston, Massachusetts, United States",Bay Village,,42.3494,-71.06868,Private room in apartment,Private room,2,1.0,1.0,120.0,2,500,2.0,t,16,46,76,229,12,101723,f,Bv,285344759.0,Not found (fabricated),Not found (fabricated),,,20.0,,Not found (fabricated),Not found (fabricated),,6-1,True,0.0,314.88368606597567,6-1-0,115.25168400762956,#E64A19,True
